country,male,female
Argentina,37,3
Australia,59,15
Bangladesh,1736,169
Belgium,2,0
Benin,117,6
Bosnia & Herzegovina,38,5
Brazil,20,4
Burkina Faso,223,30
Burundi,90,13
Cameroon,67,46
Canada,100,18
Central African Republic,18,7
Chad,46,8
Chile,11,3
People's Rep. of China,83,0
Colombia,22,3
Côte d'Ivoire,124,26
Croatia,11,2
Czech Republic,3,1
Dem. Rep. of the Congo,25,2
Djibouti,49,4
Egypt,421,0
El Salvador,19,4
Ethiopia,21,0
Fiji,32,3
France,52,3
Gambia,194,60
Germany,13,0
Ghana,237,50
Grenada,1,0
Guinea,39,6
India,935,119
Indonesia,157,12
Ireland,15,2
Italy,5,0
Jamaica,9,6
Jordan,1944,14
Kenya,38,6
Kyrgizstan,15,0
Madagascar,31,6
Malawi,41,20
Malaysia,247,24
Mali,69,5
Montenegro,4,0
Namibia,17,36
Nepal,767,32
Netherlands,15,3
New Zealand,3,2
Niger,152,27
Nigeria,598,63
Norway,21,9
Pakistan,727,8
Palau,0,1
Philippines,192,38
Poland,3,0
Portugal,177,7
Republic of Korea,2,1
Romania,36,2
Russian Federation,11,2
Rwanda,327,131
Samoa,12,7
Senegal,719,20
Serbia,12,1
Sierra Leone,180,77
Singapore,7,3
South Africa,51,20
Spain,29,4
Sri Lanka,75,2
Sweden,15,14
Switzerland,3,1
Tajikistan,9,1
Thailand,26,12
Togo,149,3
Turkey,158,6
Uganda,36,8
Ukraine,69,7
United Kingdom,2,0
United Rep. of Tanzania,89,44
USA,99,14
Uruguay,10,2
Yemen,283,0
Zambia,209,17
Zimbabwe,34,24
